0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"('olsun', 28)","('geçmiş', 19)","('turkey', 19)","('78', 15)","('km', 15)","('kahramanmaraş', 11)","('türkiye', 10)","('meydana', 9)","('saat', 9)","('74', 9)","('nurdağı', 9)","('hit', 8)","('ilçesinde', 8)","('allah', 7)","('e', 7)","('utc', 7)","('umarım', 6)","('yoktur', 6)","('büyüklüğünde', 6)","('kahramanmaraş’ın', 6)","('pazarcık', 6)","('0417’de', 6)","('gelen', 6)","('depremin', 6)","('gaziantep', 6)","('minago', 6)","('kaybı', 5)","('yardımcısı', 5)","('merkez', 5)","('67', 5)","('62mi', 5)","('pm', 5)","('nasıl', 4)","('üssü', 4)","('bizim', 4)","('büyüklüğündeki', 4)","('23', 4)","('afadbaskanlik', 4)","('felt', 4)","('million', 4)","('depremi', 4)","('şiddetinde', 3)","('geldi', 3)","('herkese', 3)","('rabbim', 3)"
"('olsun', 208)","('geçmiş', 137)","('acil', 84)","('türkiye', 84)","('allah', 81)","('altında', 75)","('kahramanmaraş', 69)","('yardim', 66)","('afad', 62)","('hatay', 57)","('tüm', 55)","('km', 55)","('74', 51)","('turkey', 48)","('olan', 44)","('da', 41)","('büyük', 40)","('göçük', 39)","('bina', 39)","('allahım', 39)","('edi̇n', 37)","('malatya', 37)","('en', 34)","('gaziantep', 33)","('de', 32)","('arkadaşlar', 32)","('aci̇l', 31)","('diyarbakır', 31)","('mahallesi', 31)","('edin', 28)","('yayalım', 27)","('ne', 27)","('adana', 25)","('yıkılan', 25)","('sen', 25)","('türkiyem', 25)","('daha', 25)","('meydana', 25)","('telefon', 25)","('bütün', 25)","('merkez', 24)",,,,
"('olsun', 710)","('geçmiş', 441)","('allah', 268)","('afad', 244)","('altında', 205)","('hatay', 190)","('acil', 182)","('göçük', 148)","('kahramanmaraş', 146)","('türkiye', 139)","('sen', 136)","('tüm', 132)","('büyük', 128)","('rahmet', 126)","('yardim', 125)","('saat', 122)","('0417', 118)","('allahım', 116)","('en', 115)","('rabbim', 111)","('son', 110)","('olan', 109)","('mahallesi', 107)","('et', 102)","('da', 96)","('türkiyem', 92)","('de', 89)","('hayatını', 88)","('ne', 86)","('gün', 85)","('adıyaman', 84)","('depremde', 81)","('daha', 81)","('diyarbakır', 80)","('haber', 80)","('74', 78)","('şifalar', 76)","('yardımcımız', 73)","('edin', 73)","('afadbaskanlik', 72)","('malatya', 71)",,,,
"('olsun', 427)","('geçmiş', 250)","('allah', 171)","('altında', 159)","('hatay', 141)","('acil', 137)","('türkiye', 125)","('göçük', 113)","('rahmet', 100)","('mahallesi', 99)","('türkiyem', 89)","('olan', 88)","('tüm', 87)","('yardim', 85)","('afad', 82)","('haber', 78)","('kahramanmaraş', 76)","('büyük', 74)","('hayatını', 73)","('ne', 64)","('edin', 62)","('depremde', 61)","('şifalar', 60)","('allahtan', 58)","('son', 58)","('da', 57)","('rabbim', 55)","('bina', 54)","('en', 53)","('gelen', 52)","('turkey', 50)","('meydana', 50)","('antakya', 49)","('afadbaskanlik', 49)","('yardımcısı', 48)","('allahım', 48)","('arkadaşlar', 47)","('apartmanı', 47)","('daha', 46)","('sen', 45)","('et', 45)",,,,
"('olsun', 845)","('geçmiş', 467)","('altında', 376)","('allah', 349)","('acil', 312)","('hatay', 308)","('mahallesi', 301)","('tüm', 258)","('yardim', 244)","('haber', 240)","('olan', 231)","('türkiye', 211)","('arkadaşlar', 186)","('kahramanmaraş', 185)","('da', 179)","('rahmet', 173)","('en', 173)","('göçük', 172)","('türkiyem', 172)","('afad', 170)","('afadbaskanlik', 170)","('de', 168)","('ne', 167)","('edin', 167)","('kan', 162)","('sokak', 155)","('daha', 153)","('haluklevent', 148)","('büyük', 147)","('sen', 146)","('apartmanı', 146)","('antakya', 146)","('olarak', 144)","('kadar', 138)","('allahım', 137)","('depremde', 128)","('bina', 128)","('hayatını', 125)","('şifalar', 124)","('yok', 121)","('rabbim', 121)",,,,
"('olsun', 794)","('allah', 487)","('altında', 448)","('mahallesi', 364)","('hatay', 345)","('geçmiş', 334)","('acil', 312)","('haber', 299)","('yardim', 290)","('olan', 286)","('tüm', 281)","('arkadaşlar', 264)","('da', 260)","('edin', 258)","('allahım', 252)","('daha', 251)","('sen', 245)","('ne', 242)","('kahramanmaraş', 239)","('afadbaskanlik', 228)","('de', 224)","('türkiye', 216)","('büyük', 208)","('afad', 190)","('et', 188)","('haluklevent', 185)","('yayalım', 182)","('göçük', 180)","('sokak', 173)","('en', 173)","('antakya', 171)","('kadar', 167)","('apartmanı', 166)","('rabbim', 164)","('yok', 163)","('bina', 162)","('herkes', 152)","('depremdairesi', 151)","('mah', 147)","('oldu', 146)","('kan', 145)",,,,
"('olsun', 460)","('altında', 362)","('allah', 350)","('hatay', 284)","('mahallesi', 279)","('yardim', 264)","('haber', 256)","('ne', 247)","('acil', 241)","('yok', 230)","('afadbaskanlik', 213)","('tüm', 210)","('arkadaşlar', 209)","('edin', 208)","('olan', 206)","('da', 194)","('kahramanmaraş', 190)","('geçmiş', 184)","('bina', 181)","('de', 180)","('daha', 170)","('türkiye', 165)","('kadar', 160)","('duyuru', 160)","('büyük', 158)","('sokak', 157)","('önemli̇', 156)","('afad', 155)","('mah', 153)","('göçük', 144)","('haluklevent', 141)","('antakya', 139)","('allahım', 134)","('yayalım', 129)","('apartmanı', 127)","('son', 127)","('sen', 123)","('ya', 118)","('ile', 118)","('herkes', 115)","('et', 115)",,,,
"('altında', 607)","('mahallesi', 558)","('olsun', 544)","('yardim', 539)","('hatay', 506)","('afadbaskanlik', 505)","('haber', 489)","('allah', 423)","('yok', 416)","('edin', 393)","('haluklevent', 390)","('ne', 366)","('acil', 358)","('olan', 312)","('arkadaşlar', 302)","('sokak', 301)","('da', 297)","('hala', 284)","('depremdairesi', 267)","('kadar', 266)","('yayalım', 262)","('tüm', 259)","('de', 258)","('antakya', 253)","('apartmanı', 247)","('caddesi', 246)","('ahbap', 237)","('göçük', 230)","('afad', 225)","('kahramanmaraş', 224)","('insanlar', 223)","('geçmiş', 211)","('mah', 194)","('daha', 192)","('en', 189)","('türkiye', 186)","('yayalim', 176)","('adıyaman', 173)","('varsa', 171)","('ya', 170)","('destek', 169)",,,,
"('yardim', 838)","('hatay', 791)","('altında', 772)","('yok', 729)","('afadbaskanlik', 704)","('mahallesi', 691)","('haber', 679)","('olsun', 555)","('haluklevent', 539)","('edin', 536)","('ne', 512)","('allah', 482)","('acil', 478)","('hala', 457)","('da', 426)","('olan', 406)","('arkadaşlar', 395)","('depremdairesi', 370)","('sokak', 340)","('insanlar', 326)","('kadar', 315)","('kahramanmaraş', 315)","('apartmanı', 309)","('daha', 302)","('caddesi', 300)","('yayalım', 299)","('de', 296)","('mah', 279)","('ahbap', 272)","('afad', 272)","('oguzhanugur', 266)","('göçük', 266)","('en', 257)","('destek', 251)","('aci̇l', 238)","('antakya', 237)","('tüm', 236)","('altinda', 229)","('edi̇n', 228)","('adıyaman', 226)","('hataya', 224)",,,,
"('yardim', 855)","('altında', 799)","('hatay', 797)","('afadbaskanlik', 775)","('yok', 713)","('mahallesi', 711)","('haber', 709)","('haluklevent', 658)","('ne', 556)","('edin', 545)","('acil', 531)","('arkadaşlar', 522)","('olsun', 521)","('da', 456)","('depremdairesi', 454)","('allah', 444)","('yayalım', 417)","('hala', 407)","('ahbap', 385)","('sokak', 363)","('olan', 358)","('de', 346)","('insanlar', 343)","('oguzhanugur', 333)","('destek', 319)","('göçük', 314)","('daha', 304)","('kadar', 300)","('antakya', 285)","('mah', 284)","('kahramanmaraş', 284)","('apartmanı', 281)","('en', 265)","('rt', 257)","('edi̇n', 255)","('hataya', 248)","('afad', 248)","('aci̇l', 247)","('tüm', 242)","('ile', 241)","('adıyaman', 235)",,,,
